Rapport sur les mots clés pour le Réseau de Recherche
Toute la période
État des mots clés,Mot clé,Type de correspondance,Campagne,Groupe d'annonces,État,Motifs de l'état,URL finale,Impr.,CTR,Code de la devise,Coût,Clics,Taux de conv.,Conversions,CPC moy.,Coût/conv.
Activé,[lieu séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,10,"10,00%",ILS,"22,92",1,"0,00%","0,00","22,92","0,00"
Activé,[location chateau chantilly entreprise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[location chateau 60 entreprise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[domaine séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[location chateau oise entreprise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[domaine séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire proche la défense],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[organisation séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[location chateau hauts de seine entreprise],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire ouest parisien],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,20,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,3,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle réunion hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,2,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[domaine séminaire 60],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle réunion 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,8,"12,50%",ILS,"19,22",1,"0,00%","0,00","19,22","0,00"
Activé,[séminaire résidentiel oise],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire 92],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Éligible,,,13,"7,69%",ILS,"41,54",1,"0,00%","0,00","41,54","0,00"
Activé,[chateau séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,1,"100,00%",ILS,"38,70",1,"0,00%","0,00","38,70","0,00"
Activé,[séminaire résidentiel chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[domaine séminaire hauts de seine],Mot clé exact,SNIPER_GEO_IDF,Paris_92,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire chantilly],Mot clé exact,SNIPER_GEO_IDF,Chantilly_60,Éligible,,,53,"13,21%",ILS,"211,02",7,"0,00%","0,00","30,15","0,00"
Activé,[salle séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,2,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[location chateau yvelines entreprise],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire résidentiel 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[lieu séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,2,"50,00%",ILS,"30,27",1,"0,00%","0,00","30,27","0,00"
Activé,[domaine séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire chevreuse],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,7,"0,00%",ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[chateau séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,19,"5,26%",ILS,"32,30",1,"0,00%","0,00","32,30","0,00"
Activé,[location chateau 78 entreprise],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[domaine séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,1,"100,00%",ILS,"31,44",1,"0,00%","0,00","31,44","0,00"
Activé,[séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,10,"10,00%",ILS,"32,40",1,"0,00%","0,00","32,40","0,00"
Activé,[organisation séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[salle séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,8,"12,50%",ILS,"33,53",1,"0,00%","0,00","33,53","0,00"
Activé,[chateau séminaire yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Non éligible,rarement diffusé,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire vallée de chevreuse],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,7,"42,86%",ILS,"108,03",3,"0,00%","0,00","36,01","0,00"
Activé,[lieu séminaire 78],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
Activé,[séminaire résidentiel yvelines],Mot clé exact,SNIPER_GEO_IDF,Chevreuse_78,Éligible,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
 --,,Total : Mots clés activés, --, --, --,,,285,"11,93%",ILS,"958,17",34,"0,00%","0,00","28,18","0,00"
,,Total : Mots clés dans votre compte,,,,,,393,"11,45%",ILS,"1105,48",45,"0,00%","0,00","24,57","0,00"
,,Total : Vos mots clés,,,,,,393,"11,45%",ILS,"1105,48",45,"0,00%","0,00","24,57","0,00"
,,Total : Correspondances étendues AI Max,,,,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total : Correspondances de pages de destination AI Max,,,,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total : Inclusions d'URL dans votre compte,,,,,,0, --,ILS,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total : Compte,,,,,,393,"11,45%",ILS,"1105,48",45,"0,00%","0,00","24,57","0,00"
,,Total : Rechercher,,,,,,393,"11,45%",ILS,"1105,48",45,"0,00%","0,00","24,57","0,00"
