nom,ville,dept,email,telephone,site,photos_publiables
LA CANOPEE DE MAREIL,MAREIL-MARLY,78,ibouige@likeminds.fr,0683658922,https://www.lacanopéemareil.fr/,0
MOULIN DE VILGRIS,CLAIREFONTAINE-EN-YVELINES,78,contact@moulindevilgris.com,0664500382,https://www.moulindevilgris.com,0
LE SITE DU SÉMINAIRE,ROSNY-SUR-SEINE,78,contact@lesiteduseminaire.com,0169454554,https://www.lesiteduseminaire.com/village-du-seminaire,0
LE RELAIS DE VOISINS,VOISINS-LE-BRETONNEUX,78,accueil@lerelaisdevoisins.com,0130441155,https://www.lerelaisdevoisins.com/,0
HAMEAUX DES LACS,MONCLAR-DE-QUERCY,91,groupes@terresdefrance.com,0555843448,https://www.domainedupalais.com/,0
NOVOTEL SÉNART GOLF DE GREENPARC,SAINT-PIERRE-DU-PERRAY,91,h1783-sb@accor.com,0169897575,https://all.accor.com/hotel/1783/index.fr.shtml,0
LA FERME DE YERRES,YERRES,91,lafermedeyerres@gmail.com,0169480415,https://www.lafermedeyerres.com/,0
ESPACE LEONARD DE VINCI,LISSES,91,seminaire@ldv91.com,0164974888,https://www.ldv91.com,0
LE HAMEAU DE COURANCES,COURANCES,91,marie@pierresdhistoire.fr,0184830400,https://pierresdhistoire.com/votre-seminaire-chez-pierres-dhistoire/,0
LES DEMEURES DE VARENNES,VARENNES-JARCY,91,meetings@demeuresdevarennes.com,01 69 00 53 87,https://www.demeuresdevarennes.com/,0
LE 58 MEETING PLACE,BOULOGNE-BILLANCOURT,92,sevsebbag@le58meetingplace.fr,0686418126,https://www.le58meetingplace.fr,0
SALLE DE RÉUNION JUMANJI,NEUILLY-SUR-SEINE,92,contact@coolandworkers.com,0187159040,https://www.coolandworkers.com/?gclid=CjwKCAiAqt-dBhBcEiwATw-ggJUqixRvh0t7232rb3lUrJlCW6hcSDzbMkaoeB7i1MzfIOcJOXE5yRoC3JEQAvD_BwE,0
HÔTEL & SPA LES ETANGS DE COROT,VILLE-D'AVRAY,92,seminaires@etangs-corot.com,0141153793,https://www.etangs-corot.com/,0
L'IROQUOIS,LEVALLOIS-PERRET,92,iroquois@millesime-event.com,0659959350,http://liroquois-levallois.fr,0
LE 67 MEETING PLACE,BOULOGNE-BILLANCOURT,92,sevsebbag@le67meetingplace.fr,0686418125,https://www.lemeetingplace.fr,0
PARIS COUNTRY CLUB,RUEIL-MALMAISON,92,contact@pariscountryclub.com,01 47 77 64 00,https://www.pariscountryclub.com,0
RELAIS DE LA MALMAISON,RUEIL-MALMAISON,92,josue.amede@radisson.com,01 47 32 01 33,https://www.relaismalmaison.fr,0
LA CHARBONERIE,PUTEAUX,92,contact@dimezzo.fr,0635567106,https://www.dimezzo.fr/15-la-charbonerie.html,0
RESORT BARRIERE ENGHIEN-LES-BAINS,ENGHIEN-LES-BAINS,95,enghienmeeting@groupebarriere.com,0139341111,https://www.hotelsbarriere.com/fr/enghien-les-bains/reunions-et-evenements.html,0
LE DOMAINE DES VANNEAUX,PRESLES,95,hb4d0-sb1@accor.com,01 34 08 40 60,https://ledomainedesvanneaux.fr,0
