nom,ville,dept,email,telephone,site
DEMEURES DE CAMPAGNE PARC DU COUDRAY,LE COUDRAY-MONTCEAUX,91,jessica.capanelli@accor.com,0164992560,https://www.demeures-de-campagne.com/hotels/parc-du-coudray
DOMAINE DE FREMIGNY,BOURAY-SUR-JUINE,91,info@domaine-de-fremigny.com,0169270000,https://www.domaine-de-fremigny.com/
DOMAINE DE QUINCAMPOIX,LES MOLIÈRES,91,events@domainedequincampoix.com,01 60 12 68 26,https://domainedequincampoix.com/
ESPACE LEONARD DE VINCI,LISSES,91,seminaire@ldv91.com,0164974888,https://www.ldv91.com
NOVOTEL PARIS SACLAY,SACLAY,91,h0392-sb1@accor.com,169356600,https://all.accor.com/hotel/0392/index.fr.shtml?dateIn=&nights=&compositions=1&stayplus=false&snu=false#origin=novotel
NOVOTEL SÉNART GOLF DE GREENPARC,SAINT-PIERRE-DU-PERRAY,91,h1783-sb@accor.com,0169897575,https://all.accor.com/hotel/1783/index.fr.shtml
AQUA RESTAURANT,SURESNES,92,thomaslieuxdemotions@gmail.com,0149295050,https://www.lieuxdemotions.fr/aqua-restaurant-restaurant-peniche-bords-de-seine
HÔTEL & SPA LES ETANGS DE COROT,VILLE-D'AVRAY,92,seminaires@etangs-corot.com,0141153793,https://www.etangs-corot.com/
L'IROQUOIS,LEVALLOIS-PERRET,92,iroquois@millesime-event.com,0659959350,http://liroquois-levallois.fr
LA FILATURE,CLAMART,92,contact@bougezvosidees.fr,0663715821,https://bougezvosidees.fr/
LA TRESO,MALAKOFF,92,reservation@latreso.fr,0789642713,https://www.latreso.fr/
RENAISSANCE LA DÉFENSE,PUTEAUX,92,rhi.parld.groups.sales@renhotels.com,0141975050,https://www.marriott.com/fr/hotels/parld-renaissance-paris-la-defense-hotel/events/
ABBAYE DE ROYAUMONT,ASNIÈRES-SUR-OISE,95,contact@royaumont.com,0130355900,https://www.royaumont.com/
CHATEAU DE L'HERMITAGE,ENNERY,95,aurore.lhermitage@gmail.com,0130300915,https://hermitage.hotelpreference.com/fr/
CHATEAU DE LA BUCHERIE,SAINT-CYR-EN-ARTHIES,95,evenements@chateaudelabucherie.com,0134769209,https://www.domainedelabucherie.fr
CHÂTEAU DE MAUDÉTOUR,MAUDÉTOUR-EN-VEXIN,95,info@chateaudemaudetour.com,06 16 06 12 20,https://www.chateaudemaudetour.com/
CHÂTEAU ET ORANGERIE DE CHÂTENAY,CHÂTENAY-EN-FRANCE,95,chateau.chatenay@gmail.com,0134711111,https://chateaudechatenay.fr
DOMAINE DE BRUNEL,AINCOURT,95,contact@grandchemin.fr,01 34 78 17 73,https://www.fermedugrandchemin.fr/domaine-de-brunel.php
HÔTEL B&B CERGY PORT,CERGY,95,commercial-4715@hotelbb.com,0130307708,https://www.hotel-bb.com/fr/hotel/cergy-port
HÔTEL INN PARIS CDG AIRPORT,ROISSY-EN-FRANCE,95,reservation@hotel-pariscdg-airport.com,0134293000,https://hotel-pariscdg-airport.fr/seminaires
LE CLOS DES FEÉS,ASNIÈRES-SUR-OISE,95,contact@leclosdesfees.fr,0783108675,https://leclosdesfees.fr/
SHERWOOD PARC,VIARMES,95,communication@sherwoodparc.com,0134093644,https://www.sherwoodparc.com/
WESTOTEL TAVERNY PARIS VAL D'OISE,TAVERNY,95,commercial@westotel-taverny.com,0188202020,https://www.westotel-taverny.com/
